,best_fitness_19521287,num of evaluation calls
0,70.87,257
1,39.04,513
2,15.84,769
3,6.81,1025
4,4.25,1281
5,5.03,1537
6,2.82,1793
7,2.87,2049
8,1.76,2305
9,1.25,2561
10,1.4,2817
11,0.88,3073
12,0.64,3329
13,0.72,3585
14,0.32,3841
15,0.26,4097
16,0.27,4353
17,0.23,4609
18,0.19,4865
19,0.17,5121
20,0.26,5377
21,0.09,5633
22,0.14,5889
23,0.07,6145
24,0.08,6401
25,0.05,6657
26,0.03,6913
27,0.03,7169
28,0.02,7425
29,0.03,7681
30,0.01,7937
31,0.01,8193
32,0.02,8449
33,0.01,8705
34,0.01,8961
35,0.0,9217
36,0.0,9473
37,0.0,9729
38,0.0,9985
39,0.0,10241
40,0.0,10497
41,0.0,10753
42,0.0,11009
43,0.0,11265
44,0.0,11521
45,0.0,11777
46,0.0,12033
47,0.0,12289
48,0.0,12545
49,0.0,12801
50,0.0,13057
51,0.0,13313
52,0.0,13569
53,0.0,13825
54,0.0,14081
55,0.0,14337
56,0.0,14593
57,0.0,14849
58,0.0,15105
59,0.0,15361
60,0.0,15617
61,0.0,15873
62,0.0,16129
63,0.0,16385
64,0.0,16641
65,0.0,16897
66,0.0,17153
67,0.0,17409
68,0.0,17665
69,0.0,17921
70,0.0,18177
71,0.0,18433
72,0.0,18689
73,0.0,18945
74,0.0,19201
75,0.0,19457
76,0.0,19713
77,0.0,19969
78,0.0,20225
79,0.0,20481
80,0.0,20737
81,0.0,20993
82,0.0,21249
83,0.0,21505
84,0.0,21761
85,0.0,22017
86,0.0,22273
87,0.0,22529
88,0.0,22785
