,best_fitness_19521283,num of evaluation calls
0,0.02428,128
1,0.02428,256
2,0.02428,384
3,0.02428,512
4,0.00689,640
5,0.00689,768
6,0.00689,896
7,0.00689,1024
8,0.00689,1152
9,0.00689,1280
10,0.00087,1408
11,0.00087,1536
12,0.00029,1664
13,0.00029,1792
14,0.00029,1920
15,6e-05,2048
16,6e-05,2176
17,6e-05,2304
18,6e-05,2432
19,6e-05,2560
20,6e-05,2688
21,6e-05,2816
22,5e-05,2944
23,1e-05,3072
24,1e-05,3200
25,1e-05,3328
26,1e-05,3456
27,0.0,3584
28,0.0,3712
29,0.0,3840
30,0.0,3968
31,0.0,4096
32,0.0,4224
33,0.0,4352
34,0.0,4480
35,0.0,4608
36,0.0,4736
37,0.0,4864
38,0.0,4992
39,0.0,5120
40,0.0,5248
41,0.0,5376
42,0.0,5504
43,0.0,5632
44,0.0,5760
45,0.0,5888
46,0.0,6016
47,0.0,6144
48,0.0,6272
49,0.0,6400
50,0.0,6528
51,0.0,6656
52,0.0,6784
53,0.0,6912
54,0.0,7040
55,0.0,7168
56,0.0,7296
57,0.0,7424
58,0.0,7552
59,0.0,7680
60,0.0,7808
61,0.0,7936
62,0.0,8064
