,best_fitness_19521283,num of evaluation calls
0,0.03804,256
1,0.01372,512
2,0.01372,768
3,0.01372,1024
4,0.01372,1280
5,0.00242,1536
6,0.00242,1792
7,0.00242,2048
8,0.00242,2304
9,5e-05,2560
10,5e-05,2816
11,5e-05,3072
12,5e-05,3328
13,5e-05,3584
14,5e-05,3840
15,5e-05,4096
16,5e-05,4352
17,5e-05,4608
18,5e-05,4864
19,5e-05,5120
20,1e-05,5376
21,1e-05,5632
22,1e-05,5888
23,1e-05,6144
24,1e-05,6400
25,0.0,6656
26,0.0,6912
27,0.0,7168
28,0.0,7424
29,0.0,7680
30,0.0,7936
31,0.0,8192
32,0.0,8448
33,0.0,8704
34,0.0,8960
35,0.0,9216
36,0.0,9472
37,0.0,9728
38,0.0,9984
39,0.0,10240
40,0.0,10496
41,0.0,10752
42,0.0,11008
43,0.0,11264
44,0.0,11520
45,0.0,11776
46,0.0,12032
47,0.0,12288
48,0.0,12544
49,0.0,12800
50,0.0,13056
51,0.0,13312
52,0.0,13568
53,0.0,13824
54,0.0,14080
55,0.0,14336
56,0.0,14592
57,0.0,14848
58,0.0,15104
59,0.0,15360
60,0.0,15616
